Model,#Param,BIC,AICc,lnL,Invariant,Gamma,R,Freq A,Freq T,Freq C,Freq G,A=>T,A=>C,A=>G,T=>A,T=>C,T=>G,C=>A,C=>T,C=>G,G=>A,G=>T,G=>C
HKY+G,22,2318.621017467377,2200.670714211706,-1078.018513023198,n/a,0.4254667921101389,3.363245490218541,0.3388888888888889,0.2524691358024692,0.3450617283950617,0.06358024691358025,0.03,0.04,0.05,0.04,0.27,0.01,0.04,0.2,0.01,0.27,0.03,0.04
TN93+G,23,2325.243869699776,2201.961426173877,-1077.634848425284,n/a,0.4131728839925691,3.448231879895068,0.3388888888888889,0.2524691358024692,0.3450617283950617,0.06358024691358025,0.02,0.03,0.06,0.03,0.23,0.01,0.03,0.17,0.01,0.34,0.02,0.03
HKY+G+I,23,2326.004855196169,2202.72241167027,-1078.015341173481,0.03759795849169965,0.469100501683304,3.333134633688633,0.3388888888888889,0.2524691358024692,0.3450617283950617,0.06358024691358025,0.03,0.04,0.05,0.04,0.27,0.01,0.04,0.2,0.01,0.27,0.03,0.04
TN93+G+I,24,2332.592812676277,2203.980809496021,-1077.614229199421,0.07430414923087618,0.5067390712608507,3.373772009496459,0.3388888888888889,0.2524691358024692,0.3450617283950617,0.06358024691358025,0.02,0.03,0.06,0.03,0.23,0.01,0.03,0.17,0.01,0.35,0.02,0.03
GTR+G,26,2345.799078066826,2206.535716865142,-1076.827180466469,n/a,0.4065299174488034,3.530488414440227,0.3388888888888889,0.2524691358024692,0.3450617283950617,0.06358024691358025,0.02,0.03,0.07000000000000001,0.02,0.21,0,0.03,0.15,0.01,0.36,0.02,0.08
HKY+I,22,2349.780136913844,2231.829833658172,-1093.598072746431,0.2994870289683833,n/a,1.946829362364002,0.3388888888888889,0.2524691358024692,0.3450617283950617,0.06358024691358025,0.04,0.05,0.04,0.05,0.24,0.01,0.05,0.17,0.01,0.23,0.04,0.05
GTR+G+I,27,2352.900441734403,2208.315291916008,-1076.682771586145,0.1478283504242047,0.6390097073124879,3.396631526161601,0.3388888888888889,0.2524691358024692,0.3450617283950617,0.06358024691358025,0.02,0.03,0.07000000000000001,0.02,0.2,0.01,0.03,0.15,0.01,0.37,0.03,0.08
TN93+I,23,2356.502226266526,2233.219782740627,-1093.264026708659,0.3012161288258797,n/a,1.954418527805678,0.3388888888888889,0.2524691358024692,0.3450617283950617,0.06358024691358025,0.04,0.05,0.05,0.05,0.21,0.01,0.05,0.16,0.01,0.27,0.04,0.05
GTR+I,26,2375.52632677671,2236.262965575026,-1091.690804821411,0.3026565640620098,n/a,1.956227161200056,0.3388888888888889,0.2524691358024692,0.3450617283950617,0.06358024691358025,0.02,0.06,0.05,0.03,0.21,0.01,0.06,0.16,0.01,0.27,0.03,0.07000000000000001
T92+G,20,2415.940788677249,2308.662488442927,-1134.06858005636,n/a,0.5838843636234228,2.005074420424874,0.295679012345679,0.295679012345679,0.204320987654321,0.204320987654321,0.05,0.03,0.14,0.05,0.14,0.03,0.05,0.2,0.03,0.2,0.05,0.03
T92+G+I,21,2422.004282881392,2309.38869566711,-1133.405236444318,0.1963213204219464,1.173903874282865,1.973533041560297,0.295679012345679,0.295679012345679,0.204320987654321,0.204320987654321,0.05,0.03,0.14,0.05,0.14,0.03,0.05,0.2,0.03,0.2,0.05,0.03
HKY,21,2422.02135862572,2309.405771411437,-1133.413774316482,n/a,n/a,1.445815155737091,0.3388888888888889,0.2524691358024692,0.3450617283950617,0.06358024691358025,0.05,0.07000000000000001,0.04,0.07000000000000001,0.21,0.01,0.07000000000000001,0.16,0.01,0.21,0.05,0.07000000000000001
T92+I,20,2428.587535428743,2321.309235194421,-1140.391953432107,0.3069049541411927,n/a,1.640161527852889,0.295679012345679,0.295679012345679,0.204320987654321,0.204320987654321,0.05,0.04,0.13,0.05,0.13,0.04,0.05,0.19,0.04,0.19,0.05,0.04
TN93,22,2429.199670839873,2311.249367584202,-1133.307839709446,n/a,n/a,1.450746910973765,0.3388888888888889,0.2524691358024692,0.3450617283950617,0.06358024691358025,0.05,0.07000000000000001,0.04,0.07000000000000001,0.22,0.01,0.07000000000000001,0.16,0.01,0.19,0.05,0.07000000000000001
K2+G,19,2436.351240011339,2334.412792875037,-1147.968896437518,n/a,0.5940874126464142,1.940912048030282,0.25,0.25,0.25,0.25,0.04,0.04,0.16,0.04,0.16,0.04,0.04,0.16,0.04,0.16,0.04,0.04
K2+G+I,20,2443.404791043766,2336.126490809444,-1147.800581239619,0.1291428822392477,0.876135743520316,1.926664051711409,0.25,0.25,0.25,0.25,0.04,0.04,0.16,0.04,0.16,0.04,0.04,0.16,0.04,0.16,0.04,0.04
GTR,25,2448.371325410834,2314.432348048963,-1131.808394852587,n/a,n/a,1.457344997595971,0.3388888888888889,0.2524691358024692,0.3450617283950617,0.06358024691358025,0.04,0.08,0.04,0.06,0.23,0.01,0.08,0.17,0.01,0.2,0.02,0.06
K2+I,19,2452.511855752736,2350.573408616433,-1156.049204308217,0.3052729161390838,n/a,1.557342181318848,0.25,0.25,0.25,0.25,0.05,0.05,0.15,0.05,0.15,0.05,0.05,0.15,0.05,0.15,0.05,0.05
JC+G,18,2488.965670545688,2392.369637817001,-1177.971202418806,n/a,0.7409912721532096,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
T92,19,2492.488979384071,2390.550532247768,-1176.037766123884,n/a,n/a,1.331101174701914,0.295679012345679,0.295679012345679,0.204320987654321,0.204320987654321,0.06,0.04,0.12,0.06,0.12,0.04,0.06,0.17,0.04,0.17,0.06,0.04
JC+G+I,19,2495.08585944097,2393.147412304668,-1177.336206152334,0.1923820612750039,1.591822923305291,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
JC+I,18,2495.77039206805,2399.174359339362,-1181.373563179987,0.2982379017471686,n/a,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
K2,18,2510.500825257556,2413.904792528869,-1188.73877977474,n/a,n/a,1.308902753716961,0.25,0.25,0.25,0.25,0.05,0.05,0.14,0.05,0.14,0.05,0.05,0.14,0.05,0.14,0.05,0.05
JC,17,2546.822949721166,2455.571887913227,-1210.594932720659,n/a,n/a,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
