Model,#Param,BIC,AICc,lnL,Invariant,Gamma,R,Freq A,Freq T,Freq C,Freq G,A=>T,A=>C,A=>G,T=>A,T=>C,T=>G,C=>A,C=>T,C=>G,G=>A,G=>T,G=>C
GTR+G,26,7462.457537980174,7285.184693660823,-3616.488852801221,n/a,0.2545353187059355,4.150555975339239,0.3039647577092511,0.2555066079295154,0.2897209985315712,0.1508076358296623,0.05,0.03,0.07000000000000001,0.06,0.33,0,0.04,0.29,0,0.14,0,0
GTR+G+I,27,7467.283520448974,7283.200483756733,-3614.488770336049,0.3104302155935003,0.5674552754171822,4.183654552218131,0.3039647577092511,0.2555066079295154,0.2897209985315712,0.1508076358296623,0.05,0.03,0.07000000000000001,0.06,0.33,0,0.03,0.29,0,0.13,0,0
TN93+G,23,7487.025604991725,7330.186902698249,-3642.012107405712,n/a,0.2172260518364547,4.807146164416363,0.3039647577092511,0.2555066079295154,0.2897209985315712,0.1508076358296623,0.02,0.03,0.08,0.03,0.32,0.01,0.03,0.28,0.01,0.15,0.02,0.03
HKY+G,22,7489.666347974662,7339.640213783456,-3647.745552596752,n/a,0.2085016494243346,4.589894845010363,0.3039647577092511,0.2555066079295154,0.2897209985315712,0.1508076358296623,0.02,0.03,0.12,0.03,0.24,0.01,0.03,0.21,0.01,0.25,0.02,0.03
TN93+G+I,24,7494.577370407633,7330.926693550368,-3641.374916414094,0.185526619678465,0.3103529446822495,5.034553297959036,0.3039647577092511,0.2555066079295154,0.2897209985315712,0.1508076358296623,0.02,0.02,0.08,0.03,0.32,0.01,0.03,0.28,0.01,0.15,0.02,0.02
HKY+G+I,23,7498.345775403659,7341.507073110182,-3647.672192611678,0.08843752698104898,0.2468540497172108,4.579409844038869,0.3039647577092511,0.2555066079295154,0.2897209985315712,0.1508076358296623,0.02,0.03,0.12,0.03,0.24,0.01,0.03,0.21,0.01,0.25,0.02,0.03
GTR+I,26,7530.866558978636,7353.593714659285,-3650.693363300452,0.4636124587950555,n/a,2.70562232174314,0.3039647577092511,0.2555066079295154,0.2897209985315712,0.1508076358296623,0.07000000000000001,0.05,0.08,0.08,0.28,0,0.05,0.25,0,0.15,0,0
TN93+I,23,7597.997564435223,7441.158862141746,-3697.49808712746,0.4650277860811253,n/a,2.732633704011666,0.3039647577092511,0.2555066079295154,0.2897209985315712,0.1508076358296623,0.03,0.04,0.08,0.04,0.27,0.02,0.04,0.24,0.02,0.15,0.03,0.04
HKY+I,22,7608.666502755951,7458.640368564745,-3707.245629987397,0.4693493087293962,n/a,2.629726447669963,0.3039647577092511,0.2555066079295154,0.2897209985315712,0.1508076358296623,0.03,0.04,0.11,0.04,0.21,0.02,0.04,0.19,0.02,0.22,0.03,0.04
T92+G,20,7650.773480815442,7514.374262395098,-3737.125266416285,n/a,0.2904861849205048,3.034492741836607,0.2797356828193833,0.2797356828193833,0.2202643171806167,0.2202643171806167,0.03,0.03,0.17,0.03,0.17,0.03,0.03,0.21,0.03,0.21,0.03,0.03
